CODIGO_CONTRATO;PRODUTO;NOME;CPF;DESCRICAO_MOVIMENTO;DATA_CONTRATO;DATA_PAGAMENTO;DATA_MOVIMENTACAO;DATA_VENCIMENTO;TAXA_CDI;VALOR_INICIAL;VALOR_PARCELA;VALOR_TOTAL
100;CONSIGNADO;Maria Silva;111.111.111-11;;02/02/2023;5;;02/02/2024;0;R$ 22.100,00;0;0
101;CONSIGNADO;João Santos;222.222.222-22;;05/02/2023;5;;05/02/2024;0;R$ 17.400,00;0;0
102;CONSIGNADO;Ana Costa;333.333.333-33;;08/02/2023;5;;08/02/2024;0;R$ 11.300,00;0;0
103;CONSIGNADO;Pedro Oliveira;444.444.444-44;;22/02/2023;5;;22/02/2024;0;R$ 16.700,00;0;0
104;CONSIGNADO;Sofia Pereira;555.555.555-55;;25/02/2023;5;;25/02/2024;0;R$ 24.900,00;0;0
105;CONSIGNADO;André Almeida;666.666.666-66;;01/03/2023;5;;01/03/2024;0;R$ 13.200,00;0;0
106;CRÉDITO PESSOAL;Laura Ferreira;777.777.777-77;;07/03/2023;5;;07/03/2024;0;R$ 19.800,00;0;0
107;CRÉDITO PESSOAL;Tiago Rodrigues;888.888.888-88;;12/03/2023;5;;12/03/2025;0;R$ 27.500,00;0;0
108;CRÉDITO PESSOAL;Carolina Sousa;999.999.999-99;;24/03/2023;7;;24/03/2025;0;R$ 8.400,00;0;0
109;CRÉDITO PESSOAL;Miguel Gomes;000.000.000-00;;28/03/2023;7;;28/03/2025;0;R$ 12.600,00;0;0
110;RESTITUIÇÃO IR;Beatriz Carvalho;123.123.123-12;;05/04/2023;7;;05/04/2025;0;R$ 21.300,00;0;0
111;RESTITUIÇÃO IR;Rafael Martins;234.234.234-23;;14/04/2023;7;;14/04/2025;0;R$ 15.100,00;0;0
112;CRÉDITO ESTUDANTIL;Mariana Ramos;345.345.345-34;;15/04/2023;7;;15/04/2025;0;R$ 23.700,00;0;0
113;CRÉDITO ESTUDANTIL;Guilherme Castro;456.456.456-45;;23/04/2023;10;;23/04/2026;0;R$ 10.900,00;0;0
114;CRÉDITO HABITACIONAL;Inês Cardoso;567.567.567-56;;27/04/2023;10;;27/04/2026;0;R$ 16.400,00;0;0
115;CONSIGNADO PRIVADO;Gabriel Barbosa;678.678.678-67;;02/05/2023;10;;02/05/2026;0;R$ 25.200,00;0;0
116;CRÉDITO PESSOAL;Luísa Fernandes;789.789.789-78;;10/05/2023;10;;10/05/2026;0;R$ 9.600,00;0;0
117;ANTECIPAÇÃO 13;Daniel Pinto;890.890.890-89;;17/05/2023;15;;17/05/2026;0;R$ 14.300,00;0;0
118;ANTECIPAÇÃO 13;Marta Rocha;900.900.900-90;;19/05/2023;15;;19/05/2026;0;R$ 20.700,00;0;0
119;CRÉDITO HABITACIONAL;Diogo Lima;098.098.098-09;;27/05/2023;15;;27/05/2026;0;R$ 11.800,00;0;0
120;RESTITUIÇÃO IR;Leonor Neves;987.987.987-98;;29/05/2023;15;;29/05/2026;0;R$ 18.900,00;0;0
121;CRÉDITO PESSOAL;José Bezerra;876.876.876-87;;30/05/2023;15;;30/05/2026;0;R$ 27.200,00;0;0
